A move is represented by a number, which is the index (going from right to left, starting at 0) of the position to be occupied.
For example, Move: 0 indicates that the player occupied the bottom right square.
Move: 3, q-value: 0.9981337277095008
Move: 4, q-value: 0.9646795801745043
Move: 5, q-value: 0.8213699366897345
Move: 8, q-value: 0.70239297603257
[xo_______] Move: 0, q-value: 0.9869923554092566
Move: 1, q-value: 0.899403778647411
Move: 2, q-value: 0.951114156152471
Move: 3, q-value: 0.8395708512931037
Move: 4, q-value: 0.9915840220071459
Move: 5, q-value: 0.9827126566524385
Move: 6, q-value: 0.7311507156118751
[o_______x] Move: 1, q-value: 0.9932837053220283
Move: 2, q-value: 0.99486383391754
Move: 3, q-value: 0.9889965569574315
Move: 4, q-value: 0.7435771567278948
Move: 5, q-value: 0.902454886423584
Move: 6, q-value: 0.9565112406926346
Move: 7, q-value: 0.8671007146685383
[o______x_] Move: 0, q-value: 0.9946382391781299
Move: 2, q-value: 0.9970601673658166
Move: 3, q-value: 0.7235473390483094
Move: 4, q-value: 0.9746073326095939
Move: 5, q-value: 0.809792851912789
Move: 6, q-value: 0.8342329429287929
Move: 7, q-value: 0.9611797441939416
[o_____x__] Move: 0, q-value: 0.9948715797113437
Move: 1, q-value: 0.996701121199294
Move: 3, q-value: 0.8156760227911093
Move: 4, q-value: 0.9588911804748932
Move: 5, q-value: 0.8105506146043766
Move: 6, q-value: 0.9947634747342704
Move: 7, q-value: 0.8061648017246625
[o____x___] Move: 0, q-value: 0.9912937803424029
Move: 1, q-value: 0.7482745693608877
Move: 2, q-value: 0.7904422359424643
Move: 4, q-value: 0.9753434089721766
Move: 5, q-value: 0.9974236936031957
Move: 6, q-value: 0.9481464112482456
Move: 7, q-value: 0.8984644646666027
[o___x____] Move: 0, q-value: 0.7316689049371234
Move: 1, q-value: 0.9754531329872407
Move: 2, q-value: 0.9597522341282456
Move: 3, q-value: 0.9738994730068953
Move: 5, q-value: 0.9759191468983772
Move: 6, q-value: 0.9197130681568524
Move: 7, q-value: 0.9852654317637644
[o__x_____] Move: 0, q-value: 0.9093374567751906
Move: 1, q-value: 0.8293746530471253
Move: 2, q-value: 0.8619765602905989
Move: 3, q-value: 0.9965174990789478
Move: 4, q-value: 0.9752317035061537
Move: 6, q-value: 0.8990680872918773
Move: 7, q-value: 0.7846625211134324
[o_x______] Move: 0, q-value: 0.9634419658000297
Move: 1, q-value: 0.8455533094993726
Move: 2, q-value: 0.9964747583428464
Move: 3, q-value: 0.9574789971811697
Move: 4, q-value: 0.9251098250970244
Move: 5, q-value: 0.8938410383061522
Move: 7, q-value: 0.9600230797578353
[ox_______] Move: 0, q-value: 0.8629352750232329
Move: 1, q-value: 0.9737345852292947
Move: 2, q-value: 0.8101124760705716
Move: 3, q-value: 0.8177471710259852
Move: 4, q-value: 0.9856458641515928
Move: 5, q-value: 0.7634869571193121
Move: 6, q-value: 0.9603261579892031
[______xxo] Move: 3, q-value: 0.9968981233457952
Move: 4, q-value: 0.8061566352571521
Move: 5, q-value: 0.8149558221921325
Move: 6, q-value: 0.712890625
Move: 7, q-value: 0.3565673828125
Move: 8, q-value: 0.8386322259902954
[_____x_xo] Move: 2, q-value: 0.7784423828125
Move: 4, q-value: 0.9335501949283298
Move: 5, q-value: 0.8717136382965716
Move: 6, q-value: 0.8965032581705589
Move: 7, q-value: 0.6934118270819196
Move: 8, q-value: 0.7026214599609375
[_____xx_o] Move: 1, q-value: 0.866306751016211
Move: 4, q-value: 0.9862062931059379
Move: 5, q-value: 0.6736297607171793
Move: 6, q-value: 0.6569332433730486
Move: 7, q-value: 0.6019787788391113
Move: 8, q-value: 0.7854955941438675
[____x__xo] Move: 2, q-value: 0.9044251424482779
Move: 3, q-value: 0.92694091796875
Move: 5, q-value: 0.928466796875
Move: 6, q-value: 0.986083984375
Move: 7, q-value: 0.9881477355936289
Move: 8, q-value: 0.9830551147460938
[____x_x_o] Move: 1, q-value: 0.958984375
Move: 3, q-value: 0.9375
Move: 5, q-value: 0.9634780883789062
Move: 6, q-value: 0.9898681631964448
Move: 7, q-value: 0.8984375
Move: 8, q-value: 0.9354591369628906
[____xx__o] Move: 1, q-value: 0.90380859375
Move: 2, q-value: 0.9813060760498047
Move: 5, q-value: 0.989868164009428
Move: 6, q-value: 0.9964599609375
Move: 7, q-value: 0.9542686315189125
Move: 8, q-value: 0.9345703125
[___x___xo] Move: 2, q-value: 0.8391713564087855
Move: 3, q-value: 0.662128327193841
Move: 4, q-value: 0.7246097995421416
Move: 6, q-value: 0.9382884173703481
Move: 7, q-value: 0.5966575257480145
Move: 8, q-value: 0.59375
[___x__x_o] Move: 1, q-value: 0.7972412109375
Move: 3, q-value: 0.91015625
Move: 4, q-value: 0.8709716796875
Move: 6, q-value: 0.5498046875
Move: 7, q-value: 0.9916849136352539
Move: 8, q-value: 0.7492599487304688
[___x_x__o] Move: 1, q-value: 0.9716796875
Move: 2, q-value: 0.9932861328125
Move: 4, q-value: 0.8831046865685982
Move: 6, q-value: 0.750920246544547
Move: 7, q-value: 0.7587890625
Move: 8, q-value: 0.880584716796875
[___xx___o] Move: 1, q-value: 0.9950997829437256
Move: 2, q-value: 0.87225341796875
Move: 3, q-value: 0.9921687112313418
Move: 6, q-value: 0.96435546875
Move: 7, q-value: 0.9631576538085938
Move: 8, q-value: 0.804443359375
